Trade No.,Date,Time,SL,Result,Liquidated?,Body size,Size of Closing Candle,EMA,TrendlineMove,MaxMove
188,6 Jan,17:20,4.2,3,No,70,1.355,No,15.3,23
189,6 Jan,22:20,3,3,No,90,1.3,No,16.2,5.2
190,7 Jan,19:30,4.3,3,No,80,2.15,No,14.6,16
191,7 Jan,23:05,4.2,3,No,85,1.275,No,10.2,4.8
192,8 Jan,18:55,4.5,-4.5,No,60,3.68,No,12.2,-11.2
193,8 Jan,20:20,3.4,3,No,30,0.62,No,13,4.2
194,8 Jan,21:20,3.6,-3.6,No,60,1.23,Yes,20.1,-5.2
195,8 Jan,22:45,2.5,3,No,90,1.215,Yes,23,17
196,9 Jan,23:15,4,3,No,90,3.555,Yes,12,5.2
197,10 Jan,17:30,4.4,3,No,95,2.31,Yes,11,12.5
198,10 Jan,21:05,3.3,3,No,85,2.41,No,11,6.5
199,1 Oct,7:35,2,3,No,70,0.62,Yes,11,3.5
200,1 Oct,12:30,1.5,-1.5,Yes,50,0.66,No,10.6,-6.3
